Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
10:51,26.7,25.2,25.5,27.406015037593978,95
11:59,28,25.4,25.4,27.293233082706774,95
13:07,28.6,25.8,25.4,27.14285714285716,95
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
14:15,29.4,26,25.4,27.218045112781947,95
15:24,30.6,26.4,25.5,27.14285714285716,95
17:41,33.4,27.4,25.8,26.842105263157887,95
18:50,33.4,27.9,25.9,26.842105263157887,95
19:58,31.6,28.1,26.1,26.69172932330827,95
21:05,29.4,28.1,26.3,26.57894736842107,95
22:13,27.7,27.8,26.4,26.466165413533826,95
23:20,26.5,27.5,26.4,26.616541353383443,95
