Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
10:17,31.4,52,37.8,26,25.6,18.911290322580637,94
11:25,36.4,40.6,40.6,27.5,25.6,18.75,94
12:33,37.4,39.4,40.9,28.7,25.9,17.903225806451605,94
13:41,36,39.2,39.4,29.7,26.2,17.459677419354822,95
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
14:48,34.4,39.1,36.5,30.2,26.6,16.814516129032278,95
15:56,34,35,34.9,30.1,26.9,16.653225806451594,95
17:03,33.7,34.2,33.9,29.8,27.1,16.814516129032278,95
18:09,33.6,448.2,33.8,29.5,27.2,16.693548387096765,95
19:16,30.2,49.9,32.4,29.4,27.3,17.137096774193548,95
20:23,26.8,60.1,29.4,29.1,27.3,16.814516129032278,95
21:30,24.3,71.6,27.1,28.6,27.3,16.854838709677402,95
22:36,23.1,72.8,25.4,27.9,27.3,17.137096774193548,95
23:42,21.8,75.9,24.1,27.4,27.2,17.298387096774185,95
